Date,Location,Dead,Injured,Total,Description
"April 21, 2019","Philadelphia, Pennsylvania",0,4,4,Four people were wounded in theGrays Ferry Section of the city.[219]
"April 21, 2019","Los Angeles, California",0,4,4,Four seniors were wounded by gunfire after a suspect opened fire in the vehicle behind them.[220]
"April 26, 2019","Hugo, Oklahoma",0,4[n 1],4,"Investigators attempted to make contact with the suspect in relation to another crime, he then began to open fire, injuring three children and himself.[218]"
"April 27, 2019","Jackson, Mississippi",1,3,4,One person was killed and three were injured in a shooting in south Jackson.[215]
"April 27, 2019","Jackson, Michigan",0,4,4,Four people were wounded in an overnight shooting.[216]
"April 27, 2019","Poway, California",1,3,4,Poway synagogue shooting: One person was killed and at least three were wounded by a shooter at the Chabad of Poway synagogue.[217]
"April 28, 2019","West Chester Township, Ohio",4,0,4,"Four family members, three women and one man, were found shot to death in an apartment. The suspect remains at large.[211]"
"April 28, 2019","Nashville, Tennessee",0,7,7,Two men got into an altercation at a party and exchanged gunfire; seven people were wounded in the crossfire.[212]
"April 28, 2019","Birmingham, Alabama",0,4,4,"A suspect in a vehicle opened fire on patrons outside of a nightclub, injuring four.[213]"
"April 28, 2019","Baltimore, Maryland",1,7,8,One person was killed and seven were wounded when a gunman opened fire on two cookouts at an intersection.[214]
"April 30, 2019","Charlotte, North Carolina",2,4,6,"University of North Carolina at Charlotte shooting: Six people were shot, two fatally, on the last day of classes at theUniversity of North Carolina at Charlotte. The student gunman was taken into custody after he ran out of ammunition.[210]"
"May 1, 2019","Boston, Massachusetts",1,3,4,One person was killed and three were wounded while sitting in a parked car in Boston's Dorchester neighborhood.[209]
"May 3, 2019","Baltimore, Maryland",0,4,4,Four people were injured and discovered after aShot Spotter gunfire alert notified police to the location.[206]
"May 3, 2019","Baltimore, Maryland",0,5,5,"Emergency responders discovered a female and two young children injured, and two men were later identified as being wounded in the same incident.[207]"
"May 3, 2019","Dallas, Texas",1,3,4,Four men were discovered shot at Cherrywood Park after a drive-by shooting; one of the victims died from their injuries.[208]
"May 4, 2019","St. Louis, Missouri",1,4,5,Five people were shot inside of a vehicle; the incident resulted in one death and four injuries.[203]
"May 4, 2019","Indianapolis, Indiana",0,4,4,Three teens and one man were injured after a fight involving between 20-30 individuals.[204]
"May 4, 2019","Wilmington, Delaware",0,4,4,Four people were wounded in a shooting at West 27th and Tatnall Streets.[205]
